Freq.	V,1	V,2
1.00000000000000e+001	,0.00000000000000e+000,0.00000000000000e+000	,-1.44055027152940e+001,2.42675881971509e+000
1.25892541179417e+001	,0.00000000000000e+000,-9.93923337957349e-017	,-1.43988151418601e+001,3.05311206984012e+000
1.58489319246111e+001	,0.00000000000000e+000,1.98784667591470e-016	,-1.43882386849158e+001,3.83966718967932e+000
1.99526231496888e+001	,0.00000000000000e+000,0.00000000000000e+000	,-1.43715326737149e+001,4.82595823514174e+000
2.51188643150958e+001	,-9.64327466553287e-016,0.00000000000000e+000	,-1.43451962507932e+001,6.05986382448581e+000
3.16227766016838e+001	,0.00000000000000e+000,-3.97569335182940e-016	,-1.43038048223362e+001,7.59797994188197e+000
3.98107170553497e+001	,0.00000000000000e+000,0.00000000000000e+000	,-1.42390620929533e+001,9.50450459377709e+000
5.01187233627272e+001	,0.00000000000000e+000,0.00000000000000e+000	,-1.41385375600695e+001,1.18470523815735e+001
6.30957344480194e+001	,0.00000000000000e+000,7.95138670365879e-016	,-1.39841946971102e+001,1.46868961511231e+001
7.94328234724282e+001	,-9.64327466553287e-016,0.00000000000000e+000	,-1.37511392938114e+001,1.80604699116524e+001
1.00000000000000e+002	,0.00000000000000e+000,0.00000000000000e+000	,-1.34075863674509e+001,2.19500142957440e+001
1.25892541179417e+002	,-9.64327466553287e-016,0.00000000000000e+000	,-1.29176507236901e+001,2.62465581189699e+001
1.58489319246111e+002	,0.00000000000000e+000,0.00000000000000e+000	,-1.22484107865357e+001,3.07193063672601e+001
1.99526231496888e+002	,0.00000000000000e+000,-1.59027734073176e-015	,-1.13806543125410e+001,3.50157288281894e+001
2.51188643150958e+002	,-9.64327466553287e-016,0.00000000000000e+000	,-1.03191825511354e+001,3.87104512652808e+001
3.16227766016838e+002	,0.00000000000000e+000,0.00000000000000e+000	,-9.09701599299479e+000,4.13917224303801e+001
3.98107170553498e+002	,-9.64327466553287e-016,0.00000000000000e+000	,-7.77130293767244e+000,4.27472003199492e+001
5.01187233627273e+002	,0.00000000000000e+000,0.00000000000000e+000	,-6.41395769566012e+000,4.26179758709048e+001
6.30957344480194e+002	,0.00000000000000e+000,0.00000000000000e+000	,-5.10116843926578e+000,4.10191772890074e+001
7.94328234724282e+002	,0.00000000000000e+000,3.18055468146352e-015	,-3.90306662197520e+000,3.81382625946295e+001
1.00000000000000e+003	,-9.64327466553287e-016,0.00000000000000e+000	,-2.87324331041102e+000,3.43095211091800e+001
1.25892541179417e+003	,0.00000000000000e+000,3.18055468146352e-015	,-2.03995524927010e+000,2.99536905511418e+001
1.58489319246111e+003	,0.00000000000000e+000,0.00000000000000e+000	,-1.40335819887843e+000,2.54891566898699e+001
1.99526231496888e+003	,0.00000000000000e+000,0.00000000000000e+000	,-9.41069312066125e-001,2.12496302590793e+001
2.51188643150958e+003	,0.00000000000000e+000,0.00000000000000e+000	,-6.18965184319044e-001,1.74438381807061e+001
3.00000000000000e+003	,1.92865493310657e-015,0.00000000000000e+000	,-4.43722376102417e-001,1.48656268055843e+001
